,,,
Fixed mmHg,Peaks,Peak cuff,Peak Ampl
146.09,,,
146.336,,,
146.624,146.4206667,144.3563946,
146.85,,,
146.85,,,
146.665,,,
146.5,,,
146.459,,,
146.603,,,
146.665,,,
146.726,,,
146.767,,,
146.932,,,
146.932,,,
146.993,,,
147.055,,,
147.076,,,
147.158,,,
147.178,,,
147.178,,,
147.24,,,
147.342,,,
147.363,,,
147.404,,,
147.404,,,
147.507,,,
147.548,,,
147.568,,,
147.589,,,
147.61,,,
147.733,,,
147.671,,,
147.733,,,
147.897,,,
147.959,,,
147.918,,,
148,,,
148.164,,,
148.369,,,
148.349,,,
148.164,,,
147.959,,,
147.815,,,
147.835,,,
147.815,,,
147.856,,,
147.918,,,
147.877,,,
147.938,,,
148,,,
148.02,,,
148.041,,,
148.082,,,
148.082,,,
148.144,,,
148.164,,,
148.164,,,
148.164,,,
148.267,,,
148.267,,,
148.328,,,
148.349,,,
148.411,,,
148.493,,,
148.513,,,
148.575,,,
148.554,,,
148.616,,,
148.657,,,
148.821,,,
148.924,,,
148.924,,,
148.924,,,
149.027,,,
149.253,,,
149.355,,,
149.232,,,
148.924,,,
148.739,,,
148.698,,,
148.719,,,
148.739,,,
148.78,,,
148.883,,,
148.883,,,
148.986,,,
148.986,,,
149.027,,,
149.129,,,
149.171,,,
149.232,,,
149.314,,,
149.376,,,
149.438,,,
149.458,,,
149.499,,,
149.602,,,
149.746,,,
149.787,,,
149.828,,,
149.931,,,
149.972,,,
150.033,,,
150.074,,,
150.136,,,
150.341,150.3162222,150.1993524,
150.485,,,
150.526,,,
150.547,,,
150.732,,,
150.937,,,
151.04,,,
150.875,,,
150.691,,,
150.588,,,
150.567,,,
150.629,,,
150.67,,,
150.752,,,
150.834,,,
150.875,,,
150.896,,,
150.978,,,
151.04,,,
151.101,,,
151.163,,,
151.225,,,
151.266,,,
151.348,,,
151.43,,,
151.451,,,
151.512,,,
151.595,,,
151.656,,,
151.738,,,
151.82,,,
151.862,,,
151.944,,,
152.005,,,
152.067,,,
152.19,152.2153333,152.104964,
152.375,,,
152.416,,,
152.478,,,
152.601,,,
152.765,,,
152.95,,,
152.971,,,
152.765,,,
152.663,,,
152.539,,,
152.581,,,
152.581,,,
152.704,,,
152.765,,,
152.765,,,
152.868,,,
152.909,,,
153.012,,,
153.053,,,
153.094,,,
153.176,,,
153.217,,,
153.3,,,
153.361,,,
153.423,,,
153.526,,,
153.587,,,
153.628,,,
153.669,,,
153.793,,,
153.895,,,
153.916,,,
153.978,,,
153.998,154.0825556,154.0507014,
154.08,,,
154.286,,,
154.388,,,
154.409,,,
154.409,,,
154.635,,,
154.861,,,
154.861,,,
154.697,,,
154.532,,,
154.45,,,
154.512,,,
154.594,,,
154.656,,,
154.779,,,
154.902,,,
155.025,,,
155.128,,,
155.21,,,
155.251,,,
155.416,,,
155.518,,,
155.601,,,
155.745,,,
155.827,,,
155.929,,,
156.053,,,
156.155,,,
156.258,,,
156.402,,,
156.525,,,
156.649,,,
156.731,,,
156.813,,,
156.895,,,
157.039,,,
157.327,,,
157.471,,,
157.553,,,
157.635,,,
157.779,,,
158.066,157.8702222,157.5933131,
158.19,,,
158.108,,,
158.066,,,
157.964,,,
158.005,,,
158.128,,,
158.231,,,
158.313,,,
158.498,,,
158.601,,,
158.662,,,
158.827,,,
158.909,,,
159.053,,,
159.114,,,
159.279,,,
159.382,,,
159.484,,,
159.587,,,
159.649,,,
159.772,,,
159.875,,,
159.978,,,
160.121,,,
160.204,,,
160.347,,,
160.409,,,
160.532,,,
160.615,,,
160.738,,,
160.943,,,
161.128,,,
161.17,161.1535556,160.0424667,
161.17,,,
161.313,,,
161.601,,,
161.704,,,
161.601,,,
161.396,,,
161.396,,,
161.396,,,
161.437,,,
161.498,,,
161.56,,,
161.581,,,
161.642,,,
161.724,,,
161.724,,,
161.807,,,
161.889,,,
161.889,,,
161.93,,,
162.012,,,
162.0635,,,
162.115,,,
162.177,,,
162.197,,,
162.3,,,
162.362,,,
162.464,,,
162.464,,,
162.526,,,
162.505,,,
162.67,,,
162.752,,,
162.793,,,
162.978,,,
163.081,,,
163.081,,,
163.163,,,
163.266,,,
163.492,,,
163.492,,,
163.286,,,
163.163,,,
163.102,,,
163.122,,,
