,,,
Fixed mmHg,Peeks,Peak cuff,Peak Ampl
50.369,,,
50.451,,,
50.451,,,
50.513,,,
50.534,,,
50.513,,,
50.616,,,
50.575,,,
50.575,,,
50.616,,,
50.657,,,
50.699,,,
50.657,,,
50.699,,,
50.822,,,
50.781,,,
50.822,,,
50.822,,,
50.884,,,
50.863,,,
50.863,,,
50.884,,,
50.905,,,
50.925,,,
50.946,,,
51.028,,,
51.049,,,
51.069,,,
51.111,,,
51.111,,,
51.152,,,
51.172,,,
51.234,,,
51.234,,,
51.234,,,
51.276,,,
51.317,,,
51.358,,,
51.358,,,
51.358,,,
51.378,,,
51.481,,,
51.461,,,
51.481,,,
51.502,,,
51.523,,,
51.605,,,
51.584,,,
51.667,,,
51.646,,,
51.687,,,
51.729,,,
51.729,,,
51.729,,,
51.811,,,
51.811,,,
51.852,,,
51.852,,,
51.914,,,
51.893,,,
51.935,,,
51.997,,,
51.976,,,
51.976,,,
52.017,,,
52.017,,,
52.079,,,
52.058,,,
52.099,,,
52.141,,,
52.141,,,
52.202,,,
52.244,,,
52.264,,,
52.244,,,
52.285,,,
52.326,,,
52.367,,,
52.367,,,
52.45,,,
52.47,,,
52.45,,,
52.47,,,
52.553,,,
52.553,,,
52.594,,,
52.635,,,
52.717,,,
52.676,,,
52.759,,,
52.717,,,
52.759,,,
52.821,,,
52.821,52.80233333,51.81434165,
52.841,,,
52.821,,,
52.841,,,
52.841,,,
52.841,,,
52.862,,,
52.841,,,
52.841,,,
52.841,,,
52.882,,,
52.924,,,
52.903,,,
52.924,,,
52.903,,,
52.882,,,
52.882,,,
52.862,,,
52.903,,,
52.841,,,
52.779,,,
52.8,,,
52.738,,,
52.717,,,
52.614,,,
52.614,,,
52.573,,,
52.47,,,
52.388,,,
52.388,,,
52.367,,,
52.326,,,
52.326,,,
52.347,,,
52.388,,,
52.388,,,
52.47,,,
52.45,,,
52.47,,,
52.47,,,
52.532,,,
52.553,,,
52.553,,,
52.635,,,
52.697,,,
52.656,,,
52.635,,,
52.717,,,
52.759,,,
52.8,,,
52.8,,,
52.862,,,
52.841,,,
52.903,,,
52.924,,,
52.965,,,
52.924,,,
52.985,,,
53.027,,,
53.006,,,
53.088,,,
53.068,,,
53.171,,,
53.171,,,
53.212,,,
53.233,,,
53.233,,,
53.253,,,
53.274,,,
53.294,,,
53.336,,,
53.336,,,
53.356,,,
53.459,,,
53.459,,,
53.459,,,
53.5,,,
53.439,,,
53.542,,,
53.562,,,
53.583,,,
53.583,,,
53.624,,,
53.665,,,
53.665,,,
53.706,,,
53.727,,,
53.748,,,
53.789,,,
53.83,,,
53.83,,,
53.871,,,
53.912,,,
53.912,,,
53.933,,,
53.995,,,
53.995,,,
54.015,,,
54.077,,,
54.098,,,
54.16,,,
54.16,,,
54.221,,,
54.201,,,
54.283,,,
54.283,,,
54.304,,,
54.345,,,
54.325,,,
54.366,,,
54.407,,,
54.428,,,
54.428,,,
54.469,,,
54.489,,,
54.489,,,
54.489,,,
54.531,,,
54.531,,,
54.613,,,
54.634,,,
54.654,,,
54.695,,,
54.695,,,
54.716,,,
54.675,,,
54.798,,,
54.778,,,
54.819,,,
54.881,,,
54.922,,,
54.922,,,
54.963,,,
55.025,,,
55.004,,,
55.066,,,
55.107,,,
55.107,,,
55.169,,,
55.252,,,
55.252,,,
55.272,,,
55.313,,,
55.355,,,
55.355,,,
55.355,,,
55.396,,,
55.437,55.40755556,54.36846219,
55.458,,,
55.458,,,
55.396,,,
55.458,,,
55.437,,,
55.416,,,
55.416,,,
55.437,,,
55.478,,,
55.458,,,
55.478,,,
55.437,,,
55.478,,,
55.478,,,
55.437,,,
55.437,,,
55.355,,,
55.355,,,
55.272,,,
55.252,,,
55.231,,,
55.149,,,
55.107,,,
55.025,,,
54.984,,,
54.881,,,
54.819,,,
54.881,,,
54.881,,,
54.84,,,
54.901,,,
54.963,,,
54.922,,,
54.963,,,
55.025,,,
55.004,,,
55.066,,,
55.066,,,
55.066,,,
55.149,,,
55.19,,,
55.169,,,
55.21,,,
55.19,,,
55.272,,,
55.293,,,
55.375,,,
55.355,,,
55.396,,,
55.437,,,
55.437,,,
55.478,,,
55.458,,,
55.561,,,
55.561,,,
55.602,,,
55.623,,,
55.643,,,
55.684,,,
55.684,,,
55.746,,,
55.746,,,
55.787,,,
55.767,,,
55.849,,,
55.87,,,
55.911,,,
55.952,,,
55.973,,,
55.973,,,
55.993,,,
56.035,,,
56.014,,,
56.076,,,
56.138,,,
56.138,,,
56.158,,,
56.22,,,
56.241,,,
56.241,,,
56.303,,,
56.303,,,
56.323,,,
56.364,,,
56.385,,,
56.467,,,
56.467,,,
56.488,,,
56.488,,,
56.55,,,
56.55,,,
56.57,,,
56.632,,,
56.653,,,
56.715,,,
56.715,,,
56.776,,,
56.797,,,
56.818,,,
56.838,,,
56.879,,,
56.9,,,
56.879,,,
56.941,,,
56.941,,,
57.085,,,
57.044,,,
57.085,,,
57.085,,,
57.147,,,
57.127,,,
57.189,,,
57.25,,,
57.23,,,
57.271,,,
57.292,,,
57.353,,,
57.374,,,
57.353,,,
57.374,,,
57.415,,,
57.477,,,
57.498,,,
57.58,,,
57.539,,,
57.601,,,
57.601,,,
57.683,,,
57.642,,,
57.683,,,
57.704,,,
57.745,,,
57.807,,,
57.807,,,
57.848,,,
57.889,,,
57.889,,,
57.951,,,
