,,,
Fixed mmhg,Peaks,Peak cuff ,Peak Ampl
65.082,,,
65.123,,,
65.144,,,
65.123,,,
65.164,,,
65.164,,,
65.226,,,
65.226,,,
65.206,,,
65.247,,,
65.288,,,
65.329,,,
65.329,,,
65.309,,,
65.288,,,
65.329,,,
65.391,,,
65.391,,,
65.453,,,
65.453,,,
65.412,,,
65.494,,,
65.474,,,
65.494,,,
65.556,,,
65.494,,,
65.535,,,
65.597,,,
65.577,,,
65.618,,,
65.618,,,
65.597,,,
65.639,,,
65.618,,,
65.68,,,
65.68,,,
65.7,,,
65.7,,,
65.721,,,
65.742,,,
65.762,65.74844444,65.6871306,
65.783,,,
65.783,,,
65.762,,,
65.783,,,
65.803,,,
65.886,,,
65.824,,,
65.886,,,
65.845,,,
65.865,,,
65.845,,,
65.886,,,
65.927,,,
65.886,,,
65.886,,,
65.907,,,
65.989,,,
65.907,,,
65.989,,,
65.968,,,
66.071,,,
66.051,,,
66.03,66.04611111,66.02340278,
66.092,,,
66.051,,,
66.092,,,
66.071,,,
66.113,,,
66.113,,,
66.113,,,
66.133,,,
66.133,,,
66.154,,,
66.154,,,
66.236,,,
66.195,,,
66.236,,,
66.278,66.24777778,66.23056209,
66.298,,,
66.257,,,
66.298,,,
66.278,,,
66.298,,,
66.298,,,
66.319,,,
66.381,,,
66.339,,,
66.36,66.37144444,66.37033333,
66.401,,,
66.381,,,
66.422,,,
66.442,,,
66.422,,,
66.442,,,
66.484,,,
66.484,,,
66.504,,,
66.484,,,
66.566,,,
66.525,66.54555556,66.24230651,
66.587,,,
66.566,,,
66.587,,,
66.607,,,
66.628,,,
66.649,,,
66.649,,,
66.587,,,
66.669,,,
66.628,,,
66.649,,,
66.649,,,
66.607,,,
66.607,,,
66.607,,,
66.546,,,
66.546,,,
66.566,,,
66.546,,,
66.484,,,
66.463,,,
66.484,,,
66.422,,,
66.442,,,
66.401,,,
66.381,,,
66.278,,,
66.298,,,
66.278,,,
66.216,,,
66.236,,,
66.175,,,
66.113,,,
66.092,,,
66.03,,,
65.948,,,
65.845,,,
65.742,,,
65.68,,,
65.618,,,
65.556,,,
65.597,,,
65.597,,,
65.577,,,
65.618,,,
65.618,,,
65.618,,,
65.597,,,
65.68,,,
65.7,,,
65.68,,,
65.721,,,
65.721,,,
65.762,,,
65.783,,,
65.824,,,
65.845,,,
65.845,,,
65.865,,,
65.886,,,
65.865,,,
65.907,,,
65.907,,,
65.927,,,
65.948,,,
65.927,,,
65.948,,,
65.989,,,
66.01,,,
66.051,,,
66.03,,,
66.071,,,
66.051,,,
66.113,,,
66.113,,,
66.113,,,
66.113,,,
66.154,,,
66.154,,,
66.154,,,
66.216,,,
66.236,,,
66.216,,,
66.236,,,
66.257,,,
66.339,,,
66.278,,,
66.36,,,
66.381,,,
66.401,,,
66.401,,,
66.463,,,
66.442,,,
66.484,,,
66.463,,,
66.566,,,
66.566,,,
66.504,,,
66.587,,,
66.587,,,
66.607,,,
66.607,,,
66.607,,,
66.628,,,
66.649,,,
66.669,,,
66.71,,,
66.69,,,
66.69,,,
66.731,,,
66.731,,,
66.772,66.75866667,66.74723833,
66.793,,,
66.814,,,
66.793,,,
66.814,,,
66.793,,,
66.834,,,
66.855,66.84788889,66.85188889,
66.875,,,
66.834,,,
66.896,,,
66.937,,,
66.937,,,
66.937,,,
66.937,66.95777778,66.95155556,
66.999,,,
66.958,,,
66.999,66.99455556,66.99455556,
67.02,,,
67.02,,,
67.02,,,
67.061,,,
67.061,,,
67.061,,,
67.061,,,
67.102,,,
67.143,,,
67.164,,,
67.185,,,
67.164,,,
67.226,,,
67.267,,,
67.246,,,
67.246,,,
67.308,,,
67.267,67.29222222,66.83827337,
67.308,,,
67.288,,,
67.35,,,
67.35,,,
67.391,,,
67.35,,,
67.37,,,
67.391,,,
67.411,,,
67.35,,,
67.329,,,
67.35,,,
67.308,,,
67.308,,,
67.35,,,
67.267,,,
67.308,,,
67.267,,,
67.246,,,
67.205,,,
67.185,,,
67.143,,,
67.123,,,
67.123,,,
67.061,,,
67.04,,,
67.02,,,
67.02,,,
66.978,,,
66.917,,,
66.875,,,
66.855,,,
66.772,,,
66.69,,,
66.607,,,
66.525,,,
66.422,,,
66.381,,,
66.236,,,
66.319,,,
66.298,,,
66.339,,,
66.36,,,
66.339,,,
66.298,,,
66.36,,,
66.401,,,
66.401,,,
66.463,,,
66.442,,,
66.442,,,
66.484,,,
66.442,,,
66.463,,,
66.484,,,
66.546,,,
66.587,,,
66.607,,,
66.607,,,
66.649,,,
66.669,,,
66.71,,,
66.731,,,
66.731,,,
66.772,,,
66.793,,,
66.814,,,
66.793,,,
66.834,,,
66.855,,,
66.896,,,
66.875,,,
66.937,,,
66.875,,,
66.958,,,
66.937,,,
66.937,,,
66.958,,,
67.02,,,
66.978,,,
67.02,,,
67.061,,,
67.04,,,
67.102,,,
67.102,,,
67.082,,,
67.143,,,
67.164,,,
67.143,,,
67.185,,,
67.226,,,
67.226,,,
67.226,,,
67.267,,,
67.288,,,
67.308,,,
67.308,,,
67.308,,,
67.35,,,
67.37,,,
67.35,,,
67.391,,,
67.391,,,
67.432,,,
67.432,,,
67.473,,,
67.494,,,
67.453,,,
67.453,,,
67.535,,,
67.556,,,
67.535,,,
67.514,,,
67.576,,,
67.576,,,
67.638,,,
67.659,,,
67.638,,,
67.679,,,
67.721,,,
67.7,,,
67.679,,,
67.741,67.72966667,67.70745664,
67.762,,,
67.741,,,
67.762,,,
67.782,,,
67.782,,,
67.762,,,
67.844,67.819,67.819,
67.844,,,
67.865,,,
67.844,,,
67.886,,,
67.865,,,
67.906,,,
67.906,,,
67.927,,,
67.947,,,
67.947,,,
67.968,,,
68.051,,,
68.03,,,
68.092,,,
68.092,,,
68.112,,,
68.133,,,
68.112,,,
68.092,68.149,67.62419815,
68.154,,,
68.215,,,
68.195,,,
68.236,,,
68.215,,,
68.215,,,
68.257,,,
68.215,,,
68.174,,,
68.215,,,
68.215,,,
68.154,,,
68.174,,,
68.195,,,
68.133,,,
68.133,,,
68.092,,,
68.051,,,
68.009,,,
68.009,,,
68.009,,,
67.968,,,
67.927,,,
67.927,,,
67.886,,,
67.844,,,
67.844,,,
67.844,,,
67.721,,,
67.721,,,
67.638,,,
67.514,,,
67.514,,,
67.308,,,
67.143,,,
67.102,,,
67.061,,,
67.04,,,
67.04,,,
66.978,,,
67.02,,,
67.02,,,
67.061,,,
67.102,,,
67.102,,,
67.143,,,
67.143,,,
67.143,,,
67.185,,,
67.185,,,
67.185,,,
67.226,,,
67.246,,,
67.329,,,
67.267,,,
67.329,,,
67.35,,,
67.37,,,
67.391,,,
67.432,,,
67.494,,,
67.473,,,
67.473,,,
67.535,,,
67.473,,,
67.556,,,
67.597,,,
67.638,,,
67.638,,,
67.618,,,
67.7,,,
67.721,,,
67.762,,,
67.762,,,
67.803,,,
67.803,,,
67.844,,,
67.844,,,
67.886,,,
67.865,,,
67.906,,,
67.968,,,
67.968,,,
67.947,,,
67.968,,,
68.009,,,
67.989,,,
68.009,,,
68.051,,,
68.092,,,
68.133,,,
68.133,,,
68.195,,,
68.174,,,
68.174,,,
68.174,,,
68.174,,,
68.257,,,
68.236,,,
68.298,,,
68.339,,,
68.298,,,
68.339,,,
68.339,,,
68.38,,,
68.339,,,
68.422,,,
68.442,,,
68.463,,,
68.463,,,
68.483,,,
68.483,,,
68.483,,,
68.586,,,
68.545,,,
68.607,,,
68.607,,,
68.586,,,
68.586,,,
68.628,,,
68.586,,,
68.69,,,
68.669,,,
68.669,,,
68.71,,,
68.751,,,
68.71,,,
68.751,,,
68.71,,,
68.813,,,
68.793,,,
68.813,,,
68.813,,,
68.813,,,
68.875,,,
68.855,,,
68.896,,,
68.875,,,
68.916,,,
68.896,,,
68.937,,,
68.978,,,
68.978,,,
68.958,,,
69.04,,,
69.04,,,
69.02,,,
69.061,,,
69.102,,,
69.143,,,
69.102,,,
69.123,,,
69.123,,,
69.164,,,
69.205,,,
69.184,,,
69.226,69.21422222,67.88099575,
69.226,,,
69.246,,,
69.287,,,
69.267,,,
69.329,,,
69.308,,,
69.287,,,
69.308,,,
69.287,,,
69.246,,,
69.226,,,
69.287,,,
69.184,,,
69.226,,,
69.184,,,
69.143,,,
69.184,,,
69.123,,,
69.061,,,
69.123,,,
69.04,,,
69.061,,,
68.999,,,
68.999,,,
68.937,,,
68.916,,,
68.834,,,
68.896,,,
68.793,,,
68.793,,,
68.751,,,
68.628,,,
68.566,,,
68.463,,,
68.339,,,
68.277,,,
68.215,,,
68.154,,,
68.112,,,
68.112,,,
68.133,,,
68.174,,,
68.174,,,
68.215,,,
68.236,,,
68.277,,,
68.257,,,
68.277,,,
68.257,,,
68.318,,,
68.36,,,
68.422,,,
68.422,,,
68.422,,,
68.422,,,
68.442,,,
68.504,,,
68.525,,,
68.545,,,
68.566,,,
68.545,,,
68.566,,,
68.648,,,
68.648,,,
68.648,,,
68.71,,,
68.71,,,
68.71,,,
68.731,,,
68.751,,,
68.772,,,
68.793,,,
68.813,,,
68.896,,,
68.875,,,
68.875,,,
68.916,,,
68.875,,,
68.937,,,
68.999,,,
69.04,,,
69.04,,,
69.081,,,
69.061,,,
69.081,,,
69.123,,,
69.123,,,
69.164,,,
69.123,,,
69.205,,,
69.164,,,
69.226,,,
69.205,,,
69.226,,,
69.267,,,
69.287,,,
69.267,,,
69.308,,,
69.329,,,
69.308,,,
69.391,,,
69.37,,,
69.391,,,
69.432,,,
69.452,,,
69.452,,,
69.473,,,
69.432,,,
69.514,,,
69.514,,,
69.535,,,
69.535,,,
69.576,,,
69.576,,,
69.617,,,
69.597,,,
69.617,,,
69.679,,,
69.679,,,
69.7,,,
69.72,,,
69.679,,,
69.741,,,
69.762,69.75033333,69.71777778,
69.762,,,
69.824,,,
69.741,,,
69.824,,,
69.782,,,
69.782,69.82588889,69.82411111,
69.865,,,
69.865,,,
69.865,,,
69.885,,,
69.844,,,
69.885,,,
69.947,,,
69.947,,,
69.927,,,
69.947,,,
69.968,,,
69.968,,,
69.947,,,
70.009,,,
70.03,,,
70.03,,,
70.071,,,
70.071,,,
70.133,,,
70.112,,,
70.092,,,
70.133,70.149,69.76381818,
70.195,,,
70.215,,,
70.195,,,
70.195,,,
70.174,,,
70.215,,,
70.236,,,
70.195,,,
70.195,,,
70.153,,,
70.153,,,
70.153,,,
70.133,,,
70.112,,,
70.092,,,
70.112,,,
70.03,,,
70.03,,,
70.03,,,
69.988,,,
69.947,,,
69.906,,,
69.906,,,
69.906,,,
69.865,,,
69.906,,,
69.803,,,
69.824,,,
69.762,,,
69.741,,,
69.617,,,
69.617,,,
69.452,,,
69.411,,,
69.329,,,
69.246,,,
69.184,,,
69.164,,,
69.164,,,
